keyword,industry_code,target_stock,polarity,weight,domain,notes
# Format: keyword,industry_code,target_stock,polarity (-1..1),weight (0..1),domain,notes
# Either industry_code OR target_stock must be set (CHECK constraint).
# polarity: +1 = bullish, -1 = bearish, magnitude = strength.
# weight: keyword strength (how much this row contributes when keyword fires).
# Comments start with '#' and are skipped by loader.

# ─── AI / Data Centers ───────────────────────────────────────────────────
AI,Semiconductors,,0.95,0.90,ai,direct GPU beneficiaries
AI,Semiconductor Equipment & Materials,,0.85,0.80,ai,upstream tooling (TSM/ASML)
AI,Software—Infrastructure,,0.70,0.75,ai,cloud + AI infra software
AI,Electrical Equipment & Parts,,0.65,0.70,ai,DC power infrastructure
AI,Utilities—Regulated Electric,,0.60,0.65,ai,DC power demand
AI,Utilities—Renewable,,0.55,0.60,ai,green PPAs for hyperscalers
AI,Uranium,,0.55,0.60,ai,nuclear PPA demand
AI,REIT—Specialty,,0.55,0.60,ai,data center REITs (DLR/EQIX)
AI,Engineering & Construction,,0.50,0.50,ai,DC build-out general contractors
AI,Communication Equipment,,0.55,0.60,ai,networking switches (ANET)
GPU,Semiconductors,,0.95,0.90,ai,direct
data center,REIT—Specialty,,0.85,0.80,ai,DLR/EQIX/IRM
data center,Utilities—Regulated Electric,,0.70,0.65,ai,power demand
data center,Electrical Equipment & Parts,,0.75,0.70,ai,VRT/GEV/ETN
hyperscaler,Software—Infrastructure,,0.70,0.65,ai,cloud platforms
hyperscaler,Semiconductors,,0.85,0.80,ai,GPU buyers
training cluster,Semiconductors,,0.90,0.85,ai,AI compute
inference,Semiconductors,,0.75,0.70,ai,inference accelerators

# ─── Oil & Energy ────────────────────────────────────────────────────────
oil,Oil & Gas E&P,,0.85,0.80,oil,upstream producers
oil,Oil & Gas Integrated,,0.80,0.75,oil,majors
oil,Oil & Gas Refining & Marketing,,0.55,0.60,oil,refiners (mixed - margin compression vs revenue)
oil,Airlines,,-0.75,0.80,oil,fuel cost (DAL/UAL/AAL)
oil,Trucking,,-0.55,0.60,oil,diesel cost
oil,Auto Manufacturers,,-0.45,0.55,oil,gas prices hurt ICE demand
oil,Marine Shipping,,-0.55,0.60,oil,bunker fuel cost
crude,Oil & Gas E&P,,0.85,0.80,oil,
crude,Oil & Gas Integrated,,0.80,0.75,oil,
oil refinery,Oil & Gas Refining & Marketing,,0.70,0.70,oil,refining margins benefit on crude shock
oil refinery,Oil & Gas E&P,,0.55,0.60,oil,
gas,Oil & Gas E&P,,0.65,0.70,oil,nat gas producers
gas,Oil & Gas Midstream,,0.55,0.60,oil,LNG export volume
gas,Utilities—Regulated Gas,,-0.50,0.60,oil,cost squeeze on regulated utilities
gas,Agricultural Inputs,,0.65,0.65,oil,fertilizer cost squeeze flips to revenue tailwind (CF/MOS/NTR)
gas,Chemicals,,-0.55,0.60,oil,feedstock cost increase
gas,Steel,,-0.50,0.55,oil,energy-intensive production
fertilizer,Agricultural Inputs,,0.85,0.80,oil,direct
natural gas,Oil & Gas E&P,,0.65,0.70,oil,
natural gas,Agricultural Inputs,,0.65,0.65,oil,feedstock
LNG,Oil & Gas Midstream,,0.85,0.80,oil,export terminals
output cut,Oil & Gas E&P,,0.70,0.70,oil,co-occur with oil
OPEC,Oil & Gas E&P,,0.65,0.65,oil,
OPEC,Oil & Gas Integrated,,0.60,0.60,oil,
oilfield,Oil & Gas Equipment & Services,,0.55,0.60,oil,SLB/HAL/BKR

# ─── War / Geopolitics ───────────────────────────────────────────────────
war,Aerospace & Defense,,0.85,0.85,war,LMT/NOC/RTX/GD/HII
war,Oil & Gas E&P,,0.55,0.60,war,supply disruption fear
war,Airlines,,-0.55,0.65,war,route disruption
war,Travel Services,,-0.45,0.55,war,demand softening
missile,Aerospace & Defense,,0.80,0.80,war,
drone strike,Aerospace & Defense,,0.65,0.70,war,
defense,Aerospace & Defense,,0.85,0.80,war,
military,Aerospace & Defense,,0.75,0.75,war,
sanctions,Aerospace & Defense,,0.45,0.55,war,
sanctions,Oil & Gas E&P,,0.40,0.50,war,supply tightness
invasion,Aerospace & Defense,,0.85,0.85,war,
invasion,Oil & Gas E&P,,0.55,0.60,war,
nuclear,Aerospace & Defense,,0.55,0.60,war,
nuclear,Uranium,,0.85,0.85,war,
