from_symbol,to_symbol,similarity,overlap_dimensions,notes
# Hand-curated Tier A peer edges (within-industry only — cross-industry peers
# in seeds/tier_a_cross_industry_peers.csv).
# Shape: from_symbol,to_symbol,similarity (0..1),overlap_dimensions (comma-sep),notes
# Goal: ~5-7 closest competitors per Tier A stock with shared business areas.
# Lines starting with # are skipped by the loader.
# Edges are directional (load_tier_a_peers() also writes the reverse pair).

# ─── Mag 7 + adjacent ────────────────────────────────────────────────────
AAPL,GOOGL,0.65,"consumer electronics,services,operating system,ai assistant",iOS vs Android battle
AAPL,MSFT,0.55,"productivity,services,enterprise,operating system",
AAPL,AMZN,0.50,"services,subscriptions,ecosystem",
AAPL,META,0.45,"consumer,advertising,vr/ar,wearables",
AAPL,TSLA,0.40,"consumer brand,vertical integration,premium pricing",
MSFT,GOOGL,0.85,"cloud,ai,productivity,search",MSFT Azure vs GCP; Bing vs Google
MSFT,AMZN,0.80,"cloud,ai infrastructure,enterprise",Azure vs AWS
MSFT,ORCL,0.75,"cloud,enterprise software,databases",
MSFT,CRM,0.65,"saas,enterprise,crm overlap",
MSFT,IBM,0.60,"enterprise,cloud,ai,consulting",
GOOGL,META,0.85,"digital advertising,ai,vr/ar,user data",duopoly in ad market
GOOGL,AMZN,0.80,"cloud,ai,ecommerce competition,advertising",
GOOGL,MSFT,0.85,"cloud,ai,search,productivity",
GOOG,GOOGL,1.00,"share class twins",same company different voting rights
AMZN,WMT,0.70,"retail,ecommerce,prime vs walmart+",
AMZN,MSFT,0.80,"cloud,ai infrastructure,enterprise",
AMZN,GOOGL,0.80,"cloud,advertising,ai,ecommerce",
AMZN,META,0.55,"advertising,ai,consumer ecosystem",
AMZN,COST,0.55,"membership retail,bulk goods,grocery",
NVDA,AVGO,0.85,"ai accelerator,custom silicon,fabless,datacenter",
NVDA,AMD,0.85,"gpu,datacenter compute,fabless,gaming",
NVDA,INTC,0.55,"datacenter chips,gpu vs cpu,x86 substitution",AI shifted leadership
NVDA,MRVL,0.65,"datacenter networking,custom silicon,ai infra",
NVDA,QCOM,0.55,"mobile silicon,ai accelerator,modems",
NVDA,ARM,0.50,"chip ip,cpu architecture,licensing",NVDA-ARM previous M&A attempt
NVDA,TSM,0.30,"foundry dependency,fabless reliance",technically supply-chain not peer
META,GOOGL,0.85,"digital ads,ai,vr/ar,user data",
META,SNAP,0.65,"social media,advertising,ar",
META,DIS,0.40,"streaming,content,advertising",
META,NFLX,0.40,"streaming,subscriber engagement",
TSLA,GM,0.65,"ev,auto manufacturer,battery,autonomous",
TSLA,F,0.65,"ev,auto manufacturer,truck",
TSLA,LCID,0.55,"ev luxury,battery,charging",
TSLA,RIVN,0.55,"ev pickup,battery,startup",

# ─── AI / Semis ──────────────────────────────────────────────────────────
AVGO,QCOM,0.75,"semiconductors,wireless,broadband",
AVGO,MRVL,0.75,"datacenter,custom silicon,networking",
AVGO,TXN,0.60,"semis,broad analog,industrial",
AVGO,AMD,0.70,"datacenter,fabless,custom silicon",
AVGO,INTC,0.55,"datacenter,networking,connectivity",
AMD,INTC,0.85,"cpu,gpu,datacenter,client compute",direct duopoly
AMD,QCOM,0.55,"semis,client compute,modems",
AMD,MRVL,0.55,"datacenter silicon,fabless",
QCOM,AVGO,0.75,"wireless,broadband,iot",
QCOM,TXN,0.55,"semis,analog,industrial",
QCOM,ARM,0.65,"mobile chips,licensing,architecture",
TXN,AVGO,0.65,"analog,industrial semis,broadband",
TXN,MCHP,0.65,"analog,microcontroller,industrial",
TXN,ON,0.60,"analog,power semis,industrial",
MU,WDC,0.85,"memory,storage,nand,dram",
MU,STX,0.75,"storage,memory adjacency",
INTC,AMD,0.85,"cpu,datacenter,client compute",
INTC,NVDA,0.55,"datacenter compute substitution",
INTC,TSM,0.45,"semiconductor manufacturing,foundry",
INTC,QCOM,0.50,"compute platforms,modems",
TSM,UMC,0.85,"foundry,semiconductor manufacturing",UMC not in Tier A
TSM,GFS,0.75,"foundry,semiconductor mfg",
TSM,INTC,0.55,"semiconductor manufacturing,foundry competition",
ASML,AMAT,0.75,"semiconductor equipment,lithography vs deposition",
ASML,KLAC,0.70,"semiconductor equipment,inspection",
ASML,LRCX,0.70,"semiconductor equipment,etch",
ASML,TSM,0.40,"semis equipment supplier",supply-chain
AMAT,LRCX,0.85,"semiconductor equipment,deposition,etch",
AMAT,KLAC,0.80,"semiconductor equipment,inspection",
LRCX,KLAC,0.80,"semiconductor equipment,etch,inspection",
LRCX,AMAT,0.85,"semiconductor equipment,etch,deposition",
KLAC,AMAT,0.80,"semiconductor equipment,inspection,deposition",
KLAC,LRCX,0.80,"semiconductor equipment,inspection,etch",
ARM,QCOM,0.65,"chip licensing,mobile architecture",
ARM,NVDA,0.50,"chip ip,architecture",
ARM,AVGO,0.45,"chip licensing,custom silicon",

# ─── Software / SaaS / Cloud ─────────────────────────────────────────────
ORCL,MSFT,0.75,"cloud,enterprise,databases",
ORCL,CRM,0.70,"erp,saas,enterprise apps",
ORCL,IBM,0.70,"enterprise software,databases,consulting",
ORCL,SNOW,0.55,"data warehouse,analytics",
CRM,MSFT,0.65,"saas,crm,enterprise apps",
CRM,ORCL,0.70,"saas,crm,erp",
CRM,NOW,0.65,"saas,enterprise workflow",
CRM,ADBE,0.50,"saas,enterprise creative-marketing",
ADBE,CRM,0.50,"saas,marketing cloud,enterprise creative",
ADBE,MSFT,0.55,"productivity,creative,saas",
ADBE,INTU,0.45,"saas,smb,subscription",
ADBE,NOW,0.40,"saas,enterprise",
NOW,CRM,0.65,"saas,enterprise workflow,itsm",
NOW,ORCL,0.60,"saas,enterprise apps",
NOW,MSFT,0.60,"saas,enterprise,workflow",
INTU,ADBE,0.45,"saas,smb,subscription",
INTU,MSFT,0.40,"smb productivity,subscription",
IBM,ORCL,0.70,"enterprise,databases,cloud,consulting",
IBM,ACN,0.75,"consulting,enterprise services,cloud",
IBM,MSFT,0.55,"enterprise,cloud,ai,consulting",
ACN,IBM,0.75,"consulting,enterprise services",
ACN,CRM,0.40,"consulting,enterprise apps",
PANW,CRWD,0.85,"cybersecurity,endpoint,saas",
PANW,FTNT,0.80,"cybersecurity,firewall,enterprise",
PANW,ZS,0.75,"cybersecurity,sase,zero trust",
CRWD,PANW,0.85,"cybersecurity,endpoint,xdr",
CRWD,FTNT,0.65,"cybersecurity,enterprise",
CRWD,ZS,0.70,"cybersecurity,saas,zero trust",
SNOW,ORCL,0.55,"data warehouse,databases",
SNOW,DDOG,0.40,"saas,data ops,observability",
CSCO,ANET,0.80,"networking,switches,enterprise",
CSCO,JNPR,0.70,"networking,routers",
CSCO,HPE,0.55,"enterprise infrastructure,networking",

# ─── Communication / Media ───────────────────────────────────────────────
NFLX,DIS,0.85,"streaming,content,subscriber",
NFLX,WBD,0.75,"streaming,content,media",
NFLX,SPOT,0.50,"streaming,subscriber,media",
DIS,NFLX,0.85,"streaming,content,subscriber",
DIS,CMCSA,0.75,"media,streaming,content,parks",
DIS,WBD,0.70,"media,streaming,content",
DIS,PARA,0.70,"media,streaming,content",
CMCSA,DIS,0.75,"media,streaming,broadband",
CMCSA,CHTR,0.85,"cable,broadband",
CMCSA,T,0.55,"telecom,media,broadband",
T,VZ,0.95,"telecom,wireless,5g",direct duopoly w/ TMUS
T,TMUS,0.85,"wireless,5g",
VZ,T,0.95,"telecom,wireless,5g",
VZ,TMUS,0.85,"wireless,5g",
TMUS,T,0.85,"wireless,5g",
TMUS,VZ,0.85,"wireless,5g",
